,carros,price,link
26,Renault Alaskan 2.5 Intes,155000000,https://carro.mercadolibre.com.co/MCO-1379432653-renault-alaskan-25-cargo-4x4-_JM#position=27&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
27,Chevrolet Sail 1.4 Ltz,39500000,https://carro.mercadolibre.com.co/MCO-1379419749-chevrolet-sail-_JM#position=28&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
28,Mazda Cx-5 2.5 Grand Touring Camioneta,108000000,https://carro.mercadolibre.com.co/MCO-1379406689-mazda-cx5-25-grand-touring-2019-_JM#position=29&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
29,Hyundai Tucson Ix-35 2.0l 4x2,49800000,https://carro.mercadolibre.com.co/MCO-2141506928-hyundai-tucson-ix35-gl-_JM#position=30&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
30,Chevrolet Captiva 2.4 Sport,34000000,https://carro.mercadolibre.com.co/MCO-2141036680-chevrolet-captiva-sport-2011-_JM#position=31&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
31,Kia Rio Spice 1.2 Mt,39400000,https://carro.mercadolibre.com.co/MCO-1379364665-kia-rio-spice-ub-ex-12-_JM#position=32&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
32,Bmw X3 3.0 F25 Xdrive35i Executive,120000000,https://carro.mercadolibre.com.co/MCO-1379377275-bmw-x3-xdrive35i-2017-30-executive-_JM#position=33&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
33,Volkswagen Gol 1.6 Comfortline,46500000,https://carro.mercadolibre.com.co/MCO-2141035952-volkswagen-gol-16-comfortline-2019-_JM#position=34&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
34,Mercedes-benz Clase A 1.4 A 200,123000000,https://carro.mercadolibre.com.co/MCO-1379375751-mercedes-benz-clase-a-200-2022-_JM#position=35&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
35,Toyota Prado 4.0 Tx-l Fl,220000000,https://carro.mercadolibre.com.co/MCO-2141020062-toyota-prado-_JM#position=36&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
36,Suzuki Swift 1.2 Live 12l,42500000,https://carro.mercadolibre.com.co/MCO-2141018516-suzuki-swift-12-live-12l-2017-_JM#position=37&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
37,Daihatsu Terios 1.3l,22700000,https://carro.mercadolibre.com.co/MCO-2140889556-daihatsu-terios-_JM#position=38&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
38,Audi A4 1.8 B7 Turbo,34000000,https://carro.mercadolibre.com.co/MCO-2140926926-audi-a4-b7-turbo-_JM#position=39&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
39,Ford Escape 2.0 Se 4x4,70000000,https://carro.mercadolibre.com.co/MCO-2139077398-ford-escape-20-se-4x4-_JM#position=40&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
40,Ford Explorer 3.5 Limited,77000000,https://carro.mercadolibre.com.co/MCO-2138973012-ford-explorer-35-limited-_JM#position=41&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
41,Nissan X-trail 2.5 Classic,41000000,https://carro.mercadolibre.com.co/MCO-2138957878-nissan-x-trail-25-classic-_JM#position=42&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
42,Ford Escape 2.0 Titanium,88000000,https://carro.mercadolibre.com.co/MCO-1378721729-ford-escape-20-titanium-_JM#position=43&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
43,Toyota Corolla 1.8 Xli Hibrido 2023,102700000,https://carro.mercadolibre.com.co/MCO-2135845966-toyota-corolla-18-xli-hibrido-2023-_JM#position=44&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
44,Suzuki Grand Vitara 2.4 Sz Glx Sport 4x4 2019,65900000,https://carro.mercadolibre.com.co/MCO-2135854294-suzuki-grand-vitara-24-sz-glx-sport-4x4-2019-_JM#position=45&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
45,Audi Q5 2.0 2021 At Hibrida,205000000,https://carro.mercadolibre.com.co/MCO-2135805910-audi-q5-20-2021-at-hibrida-_JM#position=46&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
46,Suzuki Jimmy 1.5 Mt 2021,85000000,https://carro.mercadolibre.com.co/MCO-2135843334-suzuki-new-jimmy-15-mt-2021-_JM#position=47&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
47,Bmw I3 I3 2021,160000000,https://carro.mercadolibre.com.co/MCO-2135791318-bmw-i3-2021-_JM#position=48&search_layout=grid&type=item&tracking_id=79a64cb3-adcf-4d29-be31-812b12b34cef
0,Renault Duster 1.3 Zen Cvt 2022,75000000,https://carro.mercadolibre.com.co/MCO-2135830100-renault-duster-13-zen-cvt-2022-_JM#position=1&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
1,Ford Fiesta Titanium,48500000,https://carro.mercadolibre.com.co/MCO-2135791268-ford-fiesta-titanium-2018-_JM#position=2&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
2,Mercedes-benz Clase Glb 1.3 Amg Line 2022,175000000,https://carro.mercadolibre.com.co/MCO-2135830020-mercedes-benz-clase-glb-200-13-amg-line-2022-_JM#position=3&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
3,Nissan Versa 1.6 Advance 2015,44000000,https://carro.mercadolibre.com.co/MCO-2135842970-nissan-versa-16-advance-2015-_JM#position=4&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
4,Mini Cooper 1.6 2012,59700000,https://carro.mercadolibre.com.co/MCO-2135765576-mini-cooper-16-2012-_JM#position=5&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
5,Ford Escape 3.0 Xls 2012,48000000,https://carro.mercadolibre.com.co/MCO-2135790904-ford-escape-30-xls-2012-_JM#position=6&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
6,Hyundai Elantra 1.8 Gls 2012,48000000,https://carro.mercadolibre.com.co/MCO-2135842588-hyundai-elantra-18-gls-2012-_JM#position=7&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
7,Bmw X1 2.0 Sdrive20i 2019,120000000,https://carro.mercadolibre.com.co/MCO-2135829498-bmw-x1-20-sdrive20i-2019-_JM#position=8&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
8,Hyundai Tucson 2.0  Nx Premium 4x2 2023,125000000,https://carro.mercadolibre.com.co/MCO-2135829436-hyndai-tucson-20-nx-premium-4x2-2023-_JM#position=9&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
9,Mazda 2 1.5 Grand Touring Lx,65000000,https://carro.mercadolibre.com.co/MCO-2135777934-mazda-2-sedan-_JM#position=10&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
10,Mazda 5 All New Tp,43000000,https://carro.mercadolibre.com.co/MCO-2135816260-mazda-5-all-new-tp-2011-_JM#position=11&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
11,Nissan Sentra 1.8 Sr 2020,65000000,https://carro.mercadolibre.com.co/MCO-2135764146-nissan-sentra-18-2020-_JM#position=12&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
12,Kia Sportage 2.0 New Sportage Lx Emotion At,95000000,https://carro.mercadolibre.com.co/MCO-2135750718-kia-new-sportage-lx-20-_JM#position=13&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
13,Mitsubishi Nativa 3.0 Gls Fl,80000000,https://carro.mercadolibre.com.co/MCO-2135776464-mitsubishi-nativa-30-gls-_JM#position=14&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
14,Ford Escape Titanium,101000000,https://carro.mercadolibre.com.co/MCO-1378574075-ford-escape-titanium-2018-_JM#position=15&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
15,Ford Fusion 2.0 Titanium Plus,69000000,https://carro.mercadolibre.com.co/MCO-2135788752-ford-fusion-20-titanium-plus-_JM#position=16&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
16,Bmw Serie 3 2.0 320i F30 Sportline,145000000,https://carro.mercadolibre.com.co/MCO-2135762936-bmw-320-i-2020-_JM#position=17&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
17,Citroën C-elysée 1.6 Feel,42600000,https://carro.mercadolibre.com.co/MCO-1378576675-citroen-c-elysee-at-_JM#position=18&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
18,Dodge Journey 2.7 Sxt,33000000,https://carro.mercadolibre.com.co/MCO-2135785664-dodge-journey-_JM#position=19&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
19,Renault Duster 2.0 Dynamique Automática,56000000,https://carro.mercadolibre.com.co/MCO-1378534971-renault-duster-dynamiqueintens-2020-_JM#position=20&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
20,Seat Arona 1.6 Fr,67000000,https://carro.mercadolibre.com.co/MCO-1378470169-seat-arona-16-fr-2020-_JM#position=21&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
21,Peugeot 3008 1.6 Gt Line,95000000,https://carro.mercadolibre.com.co/MCO-1378560205-peugeot-3008-16-gt-2019-_JM#position=22&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
22,Renault Logan 1.6 Expression Fii,27500000,https://carro.mercadolibre.com.co/MCO-1378521265-renault-logan-_JM#position=23&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
23,Volkswagen Voyage Comfortline,32000000,https://carro.mercadolibre.com.co/MCO-1378546881-volkswagen-voyage-comfortline-2013-_JM#position=24&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
24,Suzuki S-cross 1.6 Gl 2wd,79000000,https://carro.mercadolibre.com.co/MCO-1378534125-suzuki-scross-2wd-at-_JM#position=25&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
25,Renault Koleos 2.5 Dynamique Bose,48000000,https://carro.mercadolibre.com.co/MCO-1378569211-renault-koleos-dynamique-_JM#position=26&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
26,Volkswagen Nivus 1.0 Comfortline,82000000,https://carro.mercadolibre.com.co/MCO-1378520467-volkswagen-nivus-10-comfortline-_JM#position=27&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
27,Mercedes-benz Clase C 180 1.6 At,84000000,https://carro.mercadolibre.com.co/MCO-1378492625-mercedez-benz-clase-c-180-16-at-_JM#position=28&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
28,Chevrolet Spark Life,32000000,https://carro.mercadolibre.com.co/MCO-1378531335-chevrolet-spark-life-_JM#position=29&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
29,Chevrolet New Tracker Ls,63700000,https://carro.mercadolibre.com.co/MCO-1378543923-chevrolet-new-tracker-ls-2019-_JM#position=30&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
30,Ford Ranger 2.5 Xls,98000000,https://carro.mercadolibre.com.co/MCO-1378542575-ford-ranger-_JM#position=31&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
31,Renault Logan 1.4 Entry Familier,24000000,https://carro.mercadolibre.com.co/MCO-1378528887-renault-logan-_JM#position=32&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
32,Renault Sandero Life,46000000,https://carro.mercadolibre.com.co/MCO-2135597708-renault-sandero-life-2021-_JM#position=33&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
33,Audi Q3 2.0 Tfsi Quattro Ambition,77000000,https://carro.mercadolibre.com.co/MCO-1378540747-audi-q3-_JM#position=34&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
34,Kia Rio 1.4 Spice Mt,39500000,https://carro.mercadolibre.com.co/MCO-1378540545-kia-rio-ub-ex-_JM#position=35&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
35,Mazda 626 2.0 Na8,18800000,https://carro.mercadolibre.com.co/MCO-2135596990-mazda-626-20-na8-_JM#position=36&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
36,Chevrolet Captiva 1.5 Premier Turbo 4x2,97500000,https://carro.mercadolibre.com.co/MCO-1378475051-chevrolet-captiva-_JM#position=37&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
37,Volkswagen Gol 1.6 Power,33800000,https://carro.mercadolibre.com.co/MCO-1378538845-volkswagen-gol-_JM#position=38&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
38,Audi A4 2.0 Tfsi Mhev Advanced S-tronic,175000000,https://carro.mercadolibre.com.co/MCO-1378460545-audi-a4-_JM#position=39&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
39,Mazda 3 2.0 Touring,75000000,https://carro.mercadolibre.com.co/MCO-2135366482-mazda-3-touring-_JM#position=40&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
40,Honda Cr-v 2.4 Ex,37000000,https://carro.mercadolibre.com.co/MCO-2135366422-honda-cr-v-24-ex-_JM#position=41&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
41,Kia Rio 1.4,41000000,https://carro.mercadolibre.com.co/MCO-2135238260-kia-rio-14-ub-ex-_JM#position=42&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
42,Volkswagen Gol 1.6 Trendline,45000000,https://carro.mercadolibre.com.co/MCO-2135160146-volkswagen-gol-16-trendline-2020-_JM#position=43&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
43,Toyota Fortuner 2.7 Sw4 Street,175000000,https://carro.mercadolibre.com.co/MCO-1378202211-toyota-fortuner-27l-sw4-street-2020-_JM#position=44&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
44,Mercedes-benz Clase A 1.3 Amg Line 2022,138000000,https://carro.mercadolibre.com.co/MCO-1378265323-mercedes-benz-clase-a-200-13-amg-line-2022-_JM#position=45&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
45,Volvo Xc40 2.0 T5 Awd Momentum 4x4 2019,136500000,https://carro.mercadolibre.com.co/MCO-1378226447-volvo-xc40-20-t5-awd-momentum-4x4-2019-_JM#position=46&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
46,Volkswagen Amarok Trendline,104000000,https://carro.mercadolibre.com.co/MCO-2133935566-volkswagen-amarok-trendline-2020-_JM#position=47&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
47,Mitsubishi Montero 3.0 V13,95000000,https://carro.mercadolibre.com.co/MCO-2133947846-mitsubishi-montero-30-v13-2012-_JM#position=48&search_layout=grid&type=item&tracking_id=0e5315f7-deb1-48e0-aebd-80a7f8ac333b
0,Toyota Fortuner 2.7l,192000000,https://carro.mercadolibre.com.co/MCO-1378193765-toyota-fortuner-27l-_JM#position=1&search_layout=grid&type=item&tracking_id=f007c0fe-ca2c-4d97-83c3-72dc953879f4
1,Kia Rio Ub Ex,33500000,https://carro.mercadolibre.com.co/MCO-2133959654-kia-rio-ub-ex-2012-_JM#position=2&search_layout=grid&type=item&tracking_id=f007c0fe-ca2c-4d97-83c3-72dc953879f4
2,Fiat Mobi Easy,37000000,https://carro.mercadolibre.com.co/MCO-2134033398-fiat-_JM#position=3&search_layout=grid&type=item&tracking_id=f007c0fe-ca2c-4d97-83c3-72dc953879f4
3,Renault Koleos 2.5 Intens Cvt 4x4,132990000,https://carro.mercadolibre.com.co/MCO-2133933656-renault-koleos-25-intens-cvt-bose-44-_JM#position=4&search_layout=grid&type=item&tracking_id=f007c0fe-ca2c-4d97-83c3-72dc953879f4
4,Fiat Mobi 1.0 Like,42500000,https://carro.mercadolibre.com.co/MCO-2134019514-fiat-mobi-10-_JM#position=5&search_layout=grid&type=item&tracking_id=f007c0fe-ca2c-4d97-83c3-72dc953879f4
5,Honda Cr-v 2.4 L 5dr 2wd Lx 2021,135000000,https://carro.mercadolibre.com.co/MCO-2133945374-honda-crv-24-l-5dr-2wd-lx-2021-_JM#position=6&search_layout=grid&type=item&tracking_id=f007c0fe-ca2c-4d97-83c3-72dc953879f4
6,Ford F-150 Xlt At,95000000,https://carro.mercadolibre.com.co/MCO-2133944812-ford-f150-xlt-at-4x4-2011-_JM#position=7&search_layout=grid&type=item&tracking_id=f007c0fe-ca2c-4d97-83c3-72dc953879f4
7,Mazda 3 2.0 Touring,72000000,https://carro.mercadolibre.com.co/MCO-1378189009-mazda-3-touring-_JM#position=8&search_layout=grid&type=item&tracking_id=f007c0fe-ca2c-4d97-83c3-72dc953879f4
8,Lexus Lx 5.7 570 Super Sport S 4x4 2019,639900000,https://carro.mercadolibre.com.co/MCO-2133968700-lexus-lx-57-570-super-sport-s-4x4-2019-_JM#position=9&search_layout=grid&type=item&tracking_id=f007c0fe-ca2c-4d97-83c3-72dc953879f4
9,Nissan Frontier 2.4 Dx,50000000,https://carro.mercadolibre.com.co/MCO-2134005342-nissan-frontier-d22np300-24-_JM#position=10&search_layout=grid&type=item&tracking_id=f007c0fe-ca2c-4d97-83c3-72dc953879f4
10,Ford Escape 3.0 Xlt,41800000,https://carro.mercadolibre.com.co/MCO-2133953236-ford-escape-xlt-_JM#position=11&search_layout=grid&type=item&tracking_id=f007c0fe-ca2c-4d97-83c3-72dc953879f4
11,Volkswagen Jetta 2.0 2007,24500000,https://carro.mercadolibre.com.co/MCO-1378163257-volkswagen-jetta-20-2007-_JM#position=12&search_layout=grid&type=item&tracking_id=f007c0fe-ca2c-4d97-83c3-72dc953879f4
12,Renault Duster Oroch 2.0 Intens Mt 4x4 2022,85000000,https://carro.mercadolibre.com.co/MCO-1378140715-renault-duster-oroch-20-intens-mt-4x4-2022-_JM#position=13&search_layout=grid&type=item&tracking_id=f007c0fe-ca2c-4d97-83c3-72dc953879f4
13,Suzuki Grand Vitara 2.4 Sz Glx Sport 4x2,61500000,https://carro.mercadolibre.com.co/MCO-1378149443-suzuki-grand-vitara-sz-glx-sport-4x2-_JM#position=14&search_layout=grid&type=item&tracking_id=f007c0fe-ca2c-4d97-83c3-72dc953879f4
14,Nissan Sentra 1.8 B17 Advance At,43000000,https://carro.mercadolibre.com.co/MCO-2133288376-nissan-sentra-b17-18-advance-at-_JM#position=15&search_layout=grid&type=item&tracking_id=f007c0fe-ca2c-4d97-83c3-72dc953879f4
15,Renault Duster 1.6 Expression 2013,37500000,https://carro.mercadolibre.com.co/MCO-1378121211-renault-duster-16-expression-2013-_JM#position=16&search_layout=grid&type=item&tracking_id=f007c0fe-ca2c-4d97-83c3-72dc953879f4
16,Subaru Forester 2.5 Advance 2023,135000000,https://carro.mercadolibre.com.co/MCO-1378095201-subaru-forester-25-advance-2023-_JM#position=17&search_layout=grid&type=item&tracking_id=f007c0fe-ca2c-4d97-83c3-72dc953879f4
17,Mercedes-benz Clase Cla 1.6 2015,68000000,https://carro.mercadolibre.com.co/MCO-1378081057-mercedes-benz-clase-cla-200-16-2015-_JM#position=18&search_layout=grid&type=item&tracking_id=f007c0fe-ca2c-4d97-83c3-72dc953879f4
18,Mazda 3 1.6 All New,40900000,https://carro.mercadolibre.com.co/MCO-2133185412-mazda-3-all-new-16-2013-_JM#position=19&search_layout=grid&type=item&tracking_id=f007c0fe-ca2c-4d97-83c3-72dc953879f4
19,Landwind Landwind X5 Plus Jx6460lmm,43000000,https://carro.mercadolibre.com.co/MCO-2133169514-landwind-x5-plus-x6460lmm-_JM#position=20&search_layout=grid&type=item&tracking_id=f007c0fe-ca2c-4d97-83c3-72dc953879f4
